Year,GDP_Growth,Inflation,Interest_Rate
2015,2.94555045599772,0.118627135552451,3.26
2016,1.81945147620522,1.26158320570536,3.511666667
2017,2.45762230175086,2.13011000365961,4.096666667
2018,2.96650506916596,2.44258329692817,4.904166667
2019,2.58382533018889,1.81221007526021,5.2825
2020,-2.16302913866512,1.23358439630629,3.544166667
2021,6.05505293304556,4.69785886363742,3.25
2022,2.5123753198332,8.00279982052121,
2023,2.88755600905984,4.11633838374488,
2024,2.79619035621393,2.94952520485207,
