,forecast,lower_ci,upper_ci,actual
2025-07-21,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.01706736265383313
2025-07-22,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.022341868276575028
2025-07-23,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.011034973661275593
2025-07-24,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.028909438453575298
2025-07-25,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.050170651105871045
2025-07-28,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.015558310377378426
2025-07-29,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.011969521156849794
2025-07-30,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.0035672628439149534
2025-07-31,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.007891695958696765
2025-08-01,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.011647270613028837
2025-08-04,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.0022293089925931042
2025-08-05,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.002616965978207375
2025-08-06,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.023575541321149807
2025-08-07,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.005572859597910984
2025-08-08,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.007225883549891954
2025-08-11,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.007767629395747377
2025-08-12,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.009295191230267896
2025-08-13,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.008184566127649617
2025-08-14,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.00835405039354331
2025-08-15,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.00795121692621148
2025-08-18,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.00627576327549928
2025-08-19,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.04114963617385836
2025-08-20,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.017763779737376417
2025-08-21,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.006038666746235322
2025-08-22,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.02422838626207824
2025-08-25,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.0076910075822453905
2025-08-26,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.04109545972466133
2025-08-27,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.019857589549292065
2025-08-28,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.0376144758007948
2025-08-29,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.006551685175428368
2025-09-01,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.0008679907707866974
2025-09-02,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.033462576710923564
2025-09-03,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.007013892522436116
2025-09-04,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.0038895651368280326
2025-09-05,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,0.01694375207817167
2025-09-08,-1.1914837699696868e-05,-0.038091529296923526,0.038067699621524134,-0.044707351692024666
