Date,ml_ret,mom_ret,ret_dynamic
2023-10-11,,,
2023-10-12,,,
2023-10-13,,,
2023-10-16,,,
2023-10-17,,,
2023-10-18,,,
2023-10-19,,,
2023-10-20,,,
2023-10-23,,,
2023-10-24,,,
2023-10-25,,,
2023-10-26,,,
2023-10-27,,,
2023-10-30,,,
2023-10-31,,,
2023-11-01,,,
2023-11-02,,,
2023-11-03,,,
2023-11-06,,,
2023-11-07,,,
2023-11-08,,,
2023-11-09,,,
2023-11-10,,,
2023-11-13,,,
2023-11-14,,,
2023-11-15,,,
2023-11-16,,,
2023-11-17,,,
2023-11-20,,,
2023-11-21,,,
2023-11-22,,,
2023-11-24,,,
2023-11-27,,,
2023-11-28,,,
2023-11-29,,,
2023-11-30,,,
2023-12-01,,,
2023-12-04,,,
2023-12-05,,,
2023-12-06,,,
2023-12-07,,,
2023-12-08,,,
2023-12-11,,,
2023-12-12,,,
2023-12-13,,,
2023-12-14,,,
2023-12-15,,,
2023-12-18,,,
2023-12-19,,,
2023-12-20,,,
2023-12-21,,,
2023-12-22,,,
2023-12-26,,,
2023-12-27,,,
2023-12-28,,,
2023-12-29,,,
2024-01-02,,,
2024-01-03,,,
2024-01-04,,,
2024-01-05,,,
2024-01-08,,,
2024-01-09,,,
2024-01-10,0.14499907604410603,0.11847061194326457,0.1317348439936853
2024-01-11,0.15453823179729317,0.11841946023893647,0.13647884601811483
2024-01-12,0.13343329258318057,0.1358707642859464,0.13465202843456348
2024-01-16,0.1546164641469469,0.12932001932882073,0.1419682417378838
2024-01-17,0.15443947906511654,0.12882681970812862,0.14163314938662258
2024-01-18,0.13879578865021588,0.12477719743181122,0.13178649304101356
2024-01-19,0.1608314427579035,0.1283923557787911,0.1446118992683473
2024-01-22,0.1532601915685911,0.11967788226233564,0.13646903691546336
2024-01-23,0.14869742367500785,0.14921670967478315,0.1489570666748955
2024-01-24,0.12815730888440685,0.14922304111378243,0.13869017499909464
2024-01-25,0.12813037945553327,0.1355954126984457,0.13186289607698948
2024-01-26,0.17175506231036353,0.1503204093547533,0.16103773583255837
2024-01-29,0.16536100454642136,0.1413956315736827,0.153378318060052
2024-01-30,0.18973736876120595,0.1552554580485849,0.17249641340489544
2024-01-31,0.16104707449675376,0.16067938272360918,0.16105312740911157
2024-02-01,0.16104707449675376,0.15728733617832644,0.1593610065686117
2024-02-02,0.15665828960367953,0.15668865628383716,0.15676631156342863
2024-02-05,0.1905323091720928,0.15249111270818555,0.17148194683146126
2024-02-06,0.15997631923013642,0.14381047157870636,0.15191285017694584
2024-02-07,0.20477138398725137,0.16295113664411703,0.18353576410426234
2024-02-08,0.20726864976453485,0.16189948868108037,0.18409663282331673
2024-02-09,0.19772830141869555,0.18772908400364996,0.19290565682264707
2024-02-12,0.20031356821532179,0.17337200457394708,0.18691772419677066
2024-02-13,0.17950892665651824,0.180969979172241,0.18044631370038644
2024-02-14,0.19282627993341608,0.18071185456883979,0.18667730306625768
2024-02-15,0.21491306128533344,0.14997702629545648,0.18192701518127607
2024-02-16,0.205989655817734,0.15145646895271675,0.17837305472648743
2024-02-20,0.21996418702952508,0.1409801073468099,0.1794926384837379
2024-02-21,0.19872946755732082,0.11026006718152348,0.15347613556637152
2024-02-22,0.22380646087485323,0.10401368312272469,0.16234225203178196
2024-02-23,0.2017967284919313,0.07413550574468888,0.13641381800387645
2024-02-26,0.19359570810783067,0.07649076162040308,0.13338348421319543
2024-02-27,0.19441796047526322,0.07826115851106623,0.1348508743185837
2024-02-28,0.201509626673166,0.07839511593059441,0.13833312459914243
2024-02-29,0.18472225667106712,0.07366012227262793,0.12768476348954974
2024-03-01,0.21840278486363798,0.0601032857804729,0.14064415070477676
2024-03-04,0.19418707575805286,0.03575303992117844,0.11617388468096213
2024-03-05,0.19978079088671907,0.01531860561253775,0.11078831491054285
2024-03-06,0.18560891437517724,0.010987545137801522,0.10125607689484664
2024-03-07,0.1930878821348636,-0.009694029057869893,0.09644929985698172
2024-03-08,0.20416866466689962,-0.014502736907298197,0.10024827719699295
2024-03-11,0.1674664791718001,-0.05048657731574018,0.06567156485798292
2024-03-12,0.18144101038359114,-0.049863867889012876,0.07359658939097992
2024-03-13,0.171076341203198,-0.05744909072975901,0.06491699370933726
2024-03-14,0.18144384309908243,-0.0648336679342281,0.06703751138321581
2024-03-15,0.1781753028865511,-0.09418579302580272,0.05148555771183789
2024-03-18,0.17826442311454582,-0.10730964253392526,0.04614137806911755
2024-03-19,0.21008513022305414,-0.1355895039989501,0.05160794300671112
2024-03-20,0.20001023412154312,-0.1093369528825063,0.05756662744573742
2024-03-21,0.19927245248869602,-0.1313976277025247,0.04729626465387612
2024-03-22,0.20725407646649913,-0.1457791859137425,0.045745136235903976
2024-03-25,0.2022505433073858,-0.16785304072688245,0.033010431976458005
2024-03-26,0.21038066698154992,-0.13609473361155963,0.05143126008341166
2024-03-27,0.2170044215093244,-0.14643087621545617,0.05023285887103907
2024-03-28,0.21699620254535457,-0.1583672925079961,0.04562358890877448
2024-04-01,0.20486881418727193,-0.17273357566285258,0.03214497192602584
2024-04-02,0.218843345399063,-0.13723436587578194,0.04871690929239612
2024-04-03,0.19760862592685874,-0.15537268525851464,0.030629809581050844
2024-04-04,0.21966141063106556,-0.17423257486954746,0.046661253549454704
2024-04-05,0.20802968734227564,-0.17117877978589494,0.036655100938149554
2024-04-08,0.2306676530895053,-0.18781584841668542,0.05392020396086237
2024-04-09,0.2166903676865642,-0.19600077432816818,0.050716474294165696
