Strategy,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
ML Strategy,0.08134910491604952,0.039879370367567946,0.18221055148804574,0.30875896303860983,-0.22776226037313396
Momentum Strategy,-0.9999998559370769,-0.9996204437813098,7142.303893470857,0.8690425399335203,-0.999999867974349
Equal-Weighted,6913535.355118907,2628.3604460246424,3571.153176357771,0.8690501175912141,-0.7399055308542226
Volatility-Weighted,0.439383116950959,0.19974293786250685,0.25940950333664714,0.8272726473816229,-0.18773637301873558
Sharpe-Weighted,694022.0426758195,832.0804539033547,5269.959886914083,0.8690452322373244,-0.9196085967793125
