date,close,return_1d,ema_50,ema_200,signal,signal_shifted,strategy_return,equity_curve
2023-10-11,262.989990234375,-0.3816767389170387,190.70337275439437,181.33701704015877,1,1.0,-0.3816767389170387,6183.232610829613
2023-10-11,327.48486328125,0.24523698787698178,196.06735277505538,182.79122446544326,1,1.0,0.24523698787698178,7699.589951652194
2023-10-12,258.8699951171875,-0.20952073166549623,198.53020149435469,183.54822715849545,1,1.0,-0.20952073166549623,6086.366231457724
2023-10-12,422.7346496582031,0.6329997977047743,207.32253279489777,185.92819156147763,1,1.0,0.6329997977047743,9939.034824727632
2023-10-12,178.95713806152344,-0.5766679211031861,206.21016437398114,185.85882784506018,1,1.0,-0.5766679211031861,4207.51227457978
2023-10-12,326.2435607910156,0.8230262526821186,210.91735639033544,187.2556908594478,1,1.0,0.8230262526821186,7670.405335041192
2023-10-13,420.6290588378906,0.2893099186939547,219.14134472161214,189.57781392390993,1,1.0,0.2893099186939547,9889.529678871637
2023-10-13,251.1199951171875,-0.40298942776093716,220.39540944300728,190.19017393578335,1,1.0,-0.40298942776093716,5904.153772758352
2023-10-13,177.1151885986328,-0.2946989803978757,218.6981458804828,190.0600745791948,1,1.0,-0.2946989803978757,4164.205675814194
2023-10-13,322.8644714355469,0.8229067421608987,222.78309982381865,191.38151136383513,1,1.0,0.8229067421608987,7590.958602186376
2023-10-16,425.0546875,0.31651118381061405,230.71531894837477,193.70661759404572,1,1.0,0.31651118381061405,9993.58189562175
2023-10-16,253.9199981689453,-0.4026180497798997,231.6253063687893,194.30575570921886,1,1.0,-0.4026180497798997,5969.985442490808
2023-10-16,176.98643493652344,-0.3029834742722164,229.48260552830828,194.1334241592418,1,1.0,-0.3029834742722164,4161.1785117703885
2023-10-16,327.7015686035156,0.8515631930833936,233.33432957047327,195.4624604223689,1,1.0,0.8515631930833936,7704.684972243584
2023-10-17,425.0351867675781,0.2970190792154124,240.85201024486955,197.7467661571471,1,1.0,0.2970190792154124,9993.123408344198
2023-10-17,254.8500061035156,-0.4004025689221934,241.4009512589341,198.31495759939955,1,1.0,-0.4004025689221934,5991.851124086676
2023-10-17,327.130126953125,0.28361828180710535,244.7628797175298,199.59670057804357,1,1.0,0.28361828180710535,7691.249644744112
2023-10-17,175.43167114257812,-0.46372511521167226,242.04400879302193,199.35625252395934,1,1.0,-0.46372511521167226,4124.624017113415
2023-10-18,419.37158203125,1.3905123818287932,248.99803127295243,201.54545978273836,1,1.0,1.3905123818287932,9859.964783298035
2023-10-18,174.1343536376953,-0.5847731198326178,246.06220077745218,201.2727124579121,1,1.0,-0.5847731198326178,4094.1224155291015
2023-10-18,242.67999267578125,0.39363650885742096,245.92956516562194,201.68472519639838,1,1.0,0.39363650885742096,5705.718470012888
2023-10-18,325.2091369628906,0.3400739524389542,249.03856798120108,202.9138238209406,1,1.0,0.3400739524389542,7646.084701614114
2023-10-19,220.1100006103516,-0.3231739960754295,247.90411435881484,203.08493005765115,1,1.0,-0.3231739960754295,5175.068954262273
2023-10-19,173.758056640625,-0.21058536114304427,244.99642582084664,202.7931203719096,1,1.0,-0.21058536114304427,4085.2751895887955
2023-10-19,326.4011535644531,0.878480686737491,248.1887680853018,204.02305105044238,1,1.0,0.878480686737491,7674.110543650394
2023-10-19,415.6868286132813,0.2735458317894619,254.75731947855593,206.12915828987363,1,1.0,0.2735458317894619,9773.33149555752
2023-10-20,410.5787963867188,-0.012288174353762282,260.86796563181724,208.1634830470562,1,1.0,-0.012288174353762282,9653.235094122994
