EMA_short,EMA_long,Mode,Vol_Filter,Total Return,CAGR,Volatility,Sharpe Ratio,Max Drawdown
5,100,mean_reversion,True,7.930127708425083e+179,3.8748101291539624e+22,9.447735905732813,4.101310798498038e+21,-0.6396940368548752
5,100,mean_reversion,False,7.930127708425083e+179,3.8748101291539624e+22,9.447735905732813,4.101310798498038e+21,-0.6396940368548752
5,150,mean_reversion,False,8.07833502325945e+172,5.132587678879801e+21,9.384319382141543,5.469323314642476e+20,-0.6607874349418142
5,150,mean_reversion,True,8.07833502325945e+172,5.132587678879801e+21,9.384319382141543,5.469323314642476e+20,-0.6607874349418142
5,200,mean_reversion,False,8.043027438922007e+166,9.051786320698569e+20,9.29496402765263,9.738376925149354e+19,-0.6607874349418141
5,200,mean_reversion,True,8.043027438922007e+166,9.051786320698569e+20,9.29496402765263,9.738376925149354e+19,-0.6607874349418141
5,250,mean_reversion,True,2.558721150234584e+161,1.8470481585925076e+20,9.205356979711699,2.0064927005691798e+19,-0.6607874349418144
5,250,mean_reversion,False,2.558721150234584e+161,1.8470481585925076e+20,9.205356979711699,2.0064927005691798e+19,-0.6607874349418144
10,100,mean_reversion,False,8.883186054398928e+149,6.723926896888943e+18,9.233720018949008,7.281926334229774e+17,-0.6776863790848477
10,100,mean_reversion,True,8.883186054398928e+149,6.723926896888943e+18,9.233720018949008,7.281926334229774e+17,-0.6776863790848477
10,150,mean_reversion,True,7.403672716281714e+141,6.50435346881597e+17,9.108876345891709,7.140675997593894e+16,-0.6776863790848477
10,150,mean_reversion,False,7.403672716281714e+141,6.50435346881597e+17,9.108876345891709,7.140675997593894e+16,-0.6776863790848477
10,200,mean_reversion,True,3.7445400209838947e+129,1.8591123604496612e+16,8.863243600081393,2097553045289862.8,-0.6776863790848476
10,200,mean_reversion,False,3.7445400209838947e+129,1.8591123604496612e+16,8.863243600081393,2097553045289862.8,-0.6776863790848476
10,250,mean_reversion,False,1.1988464437646101e+117,501732870765802.94,8.585919257880866,58436709651709.234,-0.6776863790848476
10,250,mean_reversion,True,1.1988464437646101e+117,501732870765802.94,8.585919257880866,58436709651709.234,-0.6776863790848476
20,100,mean_reversion,False,3.329029757880012e+113,179441667266765.6,8.770547538748453,20459574100019.27,-0.6782243553609775
20,100,mean_reversion,True,3.329029757880012e+113,179441667266765.6,8.770547538748453,20459574100019.27,-0.6782243553609775
20,150,mean_reversion,True,4.900889308924916e+94,775107376642.1372,8.265366165478115,93777742101.67743,-0.6782243553609775
20,150,mean_reversion,False,4.900889308924916e+94,775107376642.1372,8.265366165478115,93777742101.67743,-0.6782243553609775
30,100,mean_reversion,False,3.7456873967379693e+86,74168450419.9894,8.25497529344198,8984696838.391657,-0.7104713853867588
30,100,mean_reversion,True,3.7456873967379693e+86,74168450419.9894,8.25497529344198,8984696838.391657,-0.7104713853867588
20,200,mean_reversion,True,3.798218951486807e+81,17505558198.82083,7.874347040198948,2223112355.786969,-0.7027834368060104
20,200,mean_reversion,False,3.798218951486807e+81,17505558198.82083,7.874347040198948,2223112355.786969,-0.7027834368060104
30,150,mean_reversion,True,4.437933753655424e+75,3149928747.523941,7.799527681024203,403861474.22587323,-0.7104713853867588
30,150,mean_reversion,False,4.437933753655424e+75,3149928747.523941,7.799527681024203,403861474.22587323,-0.7104713853867588
20,250,mean_reversion,False,9.302798477150005e+71,1087471420.8755295,7.553527846639757,143968678.33873138,-0.7027834368060104
20,250,mean_reversion,True,9.302798477150005e+71,1087471420.8755295,7.553527846639757,143968678.33873138,-0.7027834368060104
50,100,mean_reversion,True,1.7423460833139288e+71,881201390.4415206,7.833026270312958,112498204.40169586,-0.7104713853867588
50,100,mean_reversion,False,1.7423460833139288e+71,881201390.4415206,7.833026270312958,112498204.40169586,-0.7104713853867588
30,200,mean_reversion,True,6.53979034972377e+60,43254859.912591755,7.29987266654417,5925426.632553719,-0.7104713853867588
30,200,mean_reversion,False,6.53979034972377e+60,43254859.912591755,7.29987266654417,5925426.632553719,-0.7104713853867588
50,150,mean_reversion,False,2.521273595093116e+54,6771682.921181173,7.168860094494622,944596.8859653901,-0.7104713853867588
50,150,mean_reversion,True,2.521273595093116e+54,6771682.921181173,7.168860094494622,944596.8859653901,-0.7104713853867588
30,250,mean_reversion,False,1.4144902227317678e+49,1483800.4066504948,6.670671605944004,222436.43433568694,-0.7079906562199368
30,250,mean_reversion,True,1.4144902227317678e+49,1483800.4066504948,6.670671605944004,222436.43433568694,-0.7079906562199368
50,200,mean_reversion,False,2.902116494313077e+42,214604.7358766061,6.527617203339085,32876.42782833971,-0.7104713853867588
50,200,mean_reversion,True,2.902116494313077e+42,214604.7358766061,6.527617203339085,32876.42782833971,-0.7104713853867588
50,250,mean_reversion,True,3.146298089235234e+27,2834.5580865933066,5.84523462369894,484.93486901293306,-0.7079906562199368
50,250,mean_reversion,False,3.146298089235234e+27,2834.5580865933066,5.84523462369894,484.93486901293306,-0.7079906562199368
50,250,momentum,False,-1.0,-0.9996418287041827,10.384188148101543,-0.09626576622525268,-1.0
50,250,momentum,True,-1.0,-0.9996195038078208,10.382673843956189,-0.09627765629849817,-1.0
50,200,momentum,False,-1.0,-0.9999953709325287,9.992735754290702,-0.10007223202146104,-1.0
50,200,momentum,True,-1.0,-0.9999950824017257,9.991289850150148,-0.10008668524281657,-1.0
30,250,momentum,False,-1.0,-0.999999335699632,9.897248094224214,-0.10103811950346142,-1.0
30,250,momentum,True,-1.0,-0.9999992942936425,9.895836179364577,-0.10105253120286128,-1.0
