Strategy,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
ML,1.0059796225883373,0.4163261003696632,2.1293328918105034,0.034442529558664586,-0.7421369926188361
Momentum,-0.9838272298174817,-0.872827793199464,1.176607897166206,0.11737943440444852,-0.9913436351157887
Equal,-0.9999999983194058,-0.9999590049488433,1.2180755114766184,0.0867964172004683,-0.9999999989480608
InvVol,-0.9999999544459423,-0.9997865660342209,1.1337866384945419,0.09741348068157857,-0.9999999708759197
Dynamic,-0.999999999999,-0.9999990000110609,1.353921234790008,0.03274316372641694,-0.9999999999992104
