Strategy,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
ML Strategy,0.08134910491604952,0.039879370367567946,0.18221055148804574,0.30875896303860983,-0.22776226037313396
Momentum Strategy,-0.9999999999985594,-0.9999987997394463,714315997.1272643,0.8695438001579018,-0.9999999999986797
Equal-Weighted,8.845099130333436e+22,297407113739.29767,357157998.5648593,0.8695438002336735,-0.7415438127186946
Volatility-Weighted,0.4396571433063867,0.19985713453993625,0.25941423819246384,0.8276307335446609,-0.18774217917283564
Sharpe-Weighted,9.040832933800626e+21,95083294713.69017,527138750.8006642,0.8695438001848069,-0.9210778531137211
Dynamic (Sharpe+InvVol),779.352106524691,26.934783094283926,703109425.6639675,0.8276755468308357,-0.9999999999988293
